variety,count
Cariñena-Garnacha,3
Braucol,3
Códega do Larinho,3
Chardonnay Weissburgunder,3
Garnacha-Cabernet,3
Mavroudi,3
Edelzwicker,3
Malvar,3
Greco Bianco,3
Tai,3
Steen,3
Petite Syrah,2
Narince,2
Segalin,2
Crespiello,2
Veltliner,2
Fer Servadou,2
Moscatel Roxo,2
Pigato,2
Kallmet,2
Tinta Negra Mole,2
Alvarinho-Chardonnay,2
Prié Blanc,2
Žilavka,2
Tannat-Syrah,2
Grenache-Mourvèdre,2
Muscadet,2
Viognier-Grenache Blanc,2
Morillon,2
Kadarka,2
Roter Traminer,2
Malmsey,2
Merlot-Grenache,2
Muscat of Alexandria,2
Athiri,2
Franconia,2
Marsanne-Viognier,2
Gragnano,2
Merlot-Shiraz,2
País,2
Vinhão,2
Schwartzriesling,2
Sirica,2
Maréchal Foch,2
Vermentino Nero,2
Rivaner,2
Shiraz-Merlot,2
Alvarelhão,2
Rieslaner,2
Pelaverga Piccolo,2
Pinot Noir-Syrah,2
Lambrusco di Sorbara,2
Pinot Blanc-Pinot Noir,2
Cabernet Franc-Tempranillo,2
Garnacha Blend,2
Tintilia ,2
Roussanne-Grenache Blanc,2
Portuguiser,2
Torbato,2
Malvasia-Viura,2
Koshu,2
Bukettraube,2
Saperavi-Merlot,2
Teroldego Rotaliano,2
Karalahna,2
Emir,2
Zierfandler-Rotgipfler,2
Colombard-Ugni Blanc,2
Mtsvane,2
Madeleine Angevine,2
Muscatel,2
Sämling,2
Yapincak,2
Zierfandler,2
Incrocio Manzoni,2
Doña Blanca,2
Grignolino,1
Malvoisie,1
Cabernet Franc-Malbec,1
Tinta Francisca,1
Colorino,1
Pinot Grigio-Sauvignon Blanc,1
Baga-Touriga Nacional,1
Karasakiz,1
Rufete,1
Trousseau Gris,1
Groppello,1
St. Vincent,1
Parraleta,1
Malbec-Cabernet Franc,1
Syrah-Malbec,1
Durello,1
Azal,1
Premsal,1
Syrah-Bonarda,1
Chardonel,1
Albarín,1
Macabeo-Gewürztraminer,1
Grenache Gris,1
Moristel,1
Chardonnay-Pinot Grigio,1
Ugni Blanc,1
Huxelrebe,1
Tocai,1
Viura-Sauvignon Blanc,1
White Port,1
